Lake,Full PIT,PIT,Length,Sex,Section,
Halsteds,9.82E+14,777336,406,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777360,582,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777364,677,F,SW shore,
,,,,,,
Halsteds,9.82E+14,777339,715,M,Middleweedbed,radio tagged
,,,,,,
Halsteds,9.82E+14,777327,738,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777484,720,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777368,755,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777262,715,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777292,728,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777316,376,U,Millfoilbed,
,,,,,,
Halsteds,9.82E+14,777317,738,M,Millfoilbed,
,,,,,,
Halsteds,9.82E+14,777441,742,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777428,747,U,N Shore,
,,,,,,
Halsteds,9.82E+14,777272,397,F,N Shore,
,,,,,,
Halsteds,9.82E+14,777351,697,,N Shore,
,,,,,,
Halsteds,9.82E+14,777477,650,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777387,641,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777458,355,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777252,695,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777405,560,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777341,571,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777304,629,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777472,693,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777397,681,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777260,629,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777439,385,F,N Shore,
,,,,,,
Halsteds,9.82E+14,777086,561,,N Shore,RECAP?
,,,,,,
Parley,9.00E+14,497688,388,F,DC,43656
,,,,,,
Parley,9.00E+14,38364,380,M,DC,
,,,,,,
Parley,9.00E+14,497605,375,M,DC,
,,,,,,
Parley,9.82E+14,775221,550,M,DC,
,,,,,,
Parley,9.00E+14,497780,660,,DC,Recapture
,,,,,,
Parley,9.00E+14,38396,680,F,DC,
,,,,,,
Parley,9.00E+14,38326,685,M,DC,
,,,,,,
Parley,9.00E+14,38358,655,M,DC,
,,,,,,
Parley,9.00E+14,497717,,,DC,Recapture
,,,,,,
Parley,9.00E+14,38352,355,F,DC,
,,,,,,
Parley,9.00E+14,38347,708,M,DC,
,,,,,,
Parley,9.00E+14,38392,690,F,DC,
,,,,,,
Parley,9.00E+14,38354,662,F,DC,
,,,,,,
Parley,9.00E+14,38317,680,M,DC,
,,,,,,
Parley,9.00E+14,38341,575,M,DC,
,,,,,,
Parley,9.00E+14,38348,350,M,DC,
,,,,,,
Parley,9.00E+14,38366,638,M,DC,
,,,,,,
Parley,9.00E+14,38389,350,F,DC,
,,,,,,
Parley,9.00E+14,38305,685,M,DC,
,,,,,,
Parley,9.00E+14,38319,670,M,DC,Radio Tag
,,,,,,
Parley,9.00E+14,38399,660,M,DC,
,,,,,,
Parley,9.00E+14,38357,340,M,DC,
,,,,,,
Parley,9.00E+14,38309,740,F,DC,
,,,,,,
Parley,9.00E+14,38327,660,M,DC,
,,,,,,
Parley,9.00E+14,38379,748,M,DC,
,,,,,,
Parley,9.00E+14,38368,675,F,DC,
,,,,,,
Parley,9.00E+14,38370,716,M,DC,
,,,,,,
Parley,9.00E+14,38383,375,F,DC,
,,,,,,
Parley,9.00E+14,38306,370,M,DC,
,,,,,,
Parley,9.00E+14,38333,555,F,DC,
,,,,,,
Parley,9.00E+14,38314,335,M,DC,
,,,,,,
Parley,9.00E+14,38374,685,M,DC,
,,,,,,
Parley,9.00E+14,38329,550,M,DC,
,,,,,,
Parley,9.00E+14,38355,725,M,DC,
,,,,,,
Parley,9.00E+14,38316,655,M,DC,
,,,,,,
Parley,9.00E+14,38338,675,M,DC,
,,,,,,
Parley,9.00E+14,38397,720,M,DC,
,,,,,,
Parley,9.00E+14,38332,645,M,DC,
,,,,,,
Parley,9.00E+14,38339,735,F,DC,
,,,,,,
Parley,9.00E+14,38384,715,F,DC,
,,,,,,
Parley,9.00E+14,38342,735,F,DC,
,,,,,,
Parley,9.00E+14,38345,730,F,DC,
,,,,,,
Parley,9.00E+14,38385,555,F,DC,
,,,,,,
Parley,9.00E+14,38312,735,F,DC,
,,,,,,
Parley,9.00E+14,38371,590,M,DC,
,,,,,,
Parley,9.00E+14,38356,650,F,DC,
,,,,,,
Parley,9.00E+14,38378,725,M,DC,
,,,,,,
Parley,9.00E+14,38321,415,M,DC,
,,,,,,
Parley,9.00E+14,38367,650,F,DC,
,,,,,,
Parley,9.00E+14,38315,725,F,DC,
,,,,,,
Parley,9.00E+14,38372,575,M,DC,
,,,,,,
Parley,9.00E+14,38322,635,F,DC,
,,,,,,
Parley,9.00E+14,38315,615,F,DC,
,,,,,,
Parley,9.00E+14,38650,675,M,DC,
,,,,,,
Parley,9.00E+14,38398,750,M,DC,
,,,,,,
Halsteds,9.00E+14,567001,602,M,1,
,,,,,,
Halsteds,9.00E+14,567081,672,M,1,
,,,,,,
Halsteds,9.00E+14,567179,725,F,1,
,,,,,,
Halsteds,9.00E+14,567026,382,U,1,
,,,,,,
Halsteds,9.00E+14,567230,745,M,1,
,,,,,,
Halsteds,9.00E+14,567087,666,M,1,
,,,,,,
Halsteds,9.00E+14,567121,683,M,1,
,,,,,,
Halsteds,9.00E+14,567205,665,M,1,
,,,,,,
Halsteds,9.00E+14,567113,690,M,1,
,,,,,,
Halsteds,9.00E+14,567016,800,F,1,
,,,,,,
Halsteds,9.00E+14,567200,770,F,1,
,,,,,,
Halsteds,9.00E+14,567213,390,F,2,43657
,,,,,,
Halsteds,9.00E+14,567211,395,M,2,
,,,,,,
Halsteds,9.00E+14,567240,360,F,2,
,,,,,,
Halsteds,9.00E+14,567014,425,F,2,
,,,,,,
Halsteds,9.00E+14,567192,672,M,3,
,,,,,,
Halsteds,9.00E+14,567086,570,M,3,
,,,,,,
Halsteds,9.00E+14,567059,405,M,3,
,,,,,,
Halsteds,9.00E+14,567197,437,F,3,
,,,,,,
Halsteds,9.00E+14,567117,675,M,3,
,,,,,,
Halsteds,9.00E+14,567134,730,F,3,
,,,,,,
Halsteds,9.00E+14,567231,355,M,5,
,,,,,,
Halsteds,9.00E+14,567118,378,F,5,
,,,,,,
Halsteds,9.00E+14,567127,365,M,5,
,,,,,,
Halsteds,9.00E+14,567198,385,F,5,
,,,,,,
Halsteds,9.00E+14,567162,341,M,5,
,,,,,,
Halsteds,9.00E+14,567035,595,M,5,
,,,,,,
Halsteds,9.00E+14,567242,860,F,6,
,,,,,,
Halsteds,9.00E+14,567132,720,F,6,
,,,,,,
Halsteds,9.00E+14,567047,800,F,6,
,,,,,,
Halsteds,9.00E+14,567006,880,F,6,
,,,,,,
Halsteds,9.00E+14,567022,375,F,"4,5",
,,,,,,
Halsteds,9.00E+14,567048,360,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567223,380,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567009,385,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567063,390,F,"4,5",
,,,,,,
Halsteds,9.00E+14,567237,650,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567166,395,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567210,400,F,"4,5",
,,,,,,
Halsteds,9.00E+14,567098,385,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567036,390,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567028,705,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567217,388,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567076,570,M,"4,5",
,,,,,,
Halsteds,9.00E+14,567078,685,M,1,
,,,,,,
Halsteds,9.00E+14,567114,650,M,1,
,,,,,,
Halsteds,9.00E+14,567186,555,M,1,
,,,,,,
Halsteds,9.00E+14,567167,710,M,1,
,,,,,,
Halsteds,9.00E+14,567046,700,M,1,
,,,,,,
Halsteds,9.00E+14,567002,730,F,1,
,,,,,,
Halsteds,9.00E+14,567133,370,U,4,Possible mortality
,,,,,,
Halsteds,9.00E+14,567171,383,F,4,
,,,,,,
Halsteds,9.00E+14,567144,405,F,4,
,,,,,,
Halsteds,9.00E+14,567135,390,M,4,
,,,,,,
Halsteds,9.00E+14,567159,547,M,4,
,,,,,,
Halsteds,9.00E+14,567145,390,M,4,
,,,,,,
Halsteds,9.00E+14,567170,369,M,4,
,,,,,,
Halsteds,9.00E+14,567112,637,M,4,
,,,,,,
Halsteds,9.00E+14,567106,670,M,4,
,,,,,,
Halsteds,9.00E+14,567196,681,M,4,
,,,,,,
Halsteds,9.00E+14,567084,705,M,4,
,,,,,,
Halsteds,9.00E+14,567180,550,M,4,
,,,,,,
Halsteds,9.00E+14,567073,350,M,4,
,,,,,,
Halsteds,9.00E+14,567186,Recapture,Recapture,4,RECAPTURE
,,,,,,
Halsteds,9.00E+14,567089,635,M,4,
,,,,,,
Halsteds,9.00E+14,567038,640,M,4,
,,,,,,
Halsteds,9.00E+14,567172,710,F,4,
,,,,,,
Halsteds,9.00E+14,567165,720,F,4,
,,,,,,
Halsteds,9.00E+14,567243,630,M,4,
,,,,,,
Halsteds,9.00E+14,567075,720,F,4,
,,,,,,
Halsteds,9.00E+14,567042,685,F,4,
,,,,,,
Halsteds,9.00E+14,567232,665,M,4,
,,,,,,
Halsteds,9.00E+14,567221,640,M,4,
,,,,,,
Halsteds,9.00E+14,567008,685,F,4,
,,,,,,
Halsteds,9.00E+14,567062,345,M,None listed,
,,,,,,
Halsteds,9.00E+14,567017,650,M,None listed,
,,,,,,
Halsteds,9.00E+14,567235,615,M,None listed,
,,,,,,
Halsteds,9.00E+14,567079,675,M,None listed,
,,,,,,
Halsteds,9.00E+14,567094,730,M,None listed,
,,,,,,
Halsteds,9.00E+14,567202,625,F,None listed,
,,,,,,
Halsteds,9.00E+14,567245,685,F,None listed,
,,,,,,
Halsteds,9.00E+14,567004,750,F,None listed,
,,,,,,
Halsteds,9.00E+14,567019,680,F,None listed,
,,,,,,
Halsteds,9.00E+14,567061,630,M,None listed,
,,,,,,
Halsteds,9.00E+14,567033,630,M,None listed,
,,,,,,
Halsteds,9.00E+14,567057,740,F,None listed,
,,,,,,
Halsteds,9.82E+14,777289,725,M,,43658
,,,,,,
Halsteds,9.82E+14,777302,765,F,,
,,,,,,
Halsteds,9.82E+14,777342,388,F,,
,,,,,,
Halsteds,9.82E+14,777259,745,M,,
,,,,,,
Halsteds,9.82E+14,777281,410,F,,
,,,,,,
Halsteds,9.82E+14,777450,800,M,,
,,,,,,
Halsteds,9.82E+14,777274,710,M,,
,,,,,,
Halsteds,9.82E+14,777270,680,M,,
,,,,,,
Halsteds,9.82E+14,777266,680,F,,
,,,,,,
Halsteds,9.82E+14,777258,730,M,,
,,,,,,
Halsteds,9.82E+14,777348,740,M,,
,,,,,,
Halsteds,9.82E+14,777280,710,M,,
,,,,,,
Halsteds,9.82E+14,777483,690,M,,
,,,,,,
Halsteds,9.82E+14,777384,710,M,,
,,,,,,
Halsteds,9.82E+14,777420,640,M,,
,,,,,,
Halsteds,9.82E+14,777332,670,F,,
,,,,,,
Halsteds,9.82E+14,777479,680,M,,
,,,,,,
Halsteds,9.82E+14,777436,705,M,,
,,,,,,
Halsteds,9.82E+14,777494,710,F,,
,,,,,,
Halsteds,9.82E+14,777265,800,F,,
,,,,,,
Halsteds,9.82E+14,777433,695,M,,
,,,,,,
Halsteds,9.82E+14,777357,560,M,,
,,,,,,
Halsteds,9.82E+14,777385,805,F,,
,,,,,,
Halsteds,9.82E+14,777311,800,F,,
,,,,,,
Halsteds,9.82E+14,777399,690,M,Millfoilbed,
,,,,,,
Halsteds,9.82E+14,777461,740,F,Millfoilbed,
,,,,,,
Halsteds,9.82E+14,777455,626,M,LEFTOFDOCK,43661
,,,,,,
Halsteds,9.82E+14,777493,667,M,,
,,,,,,
Halsteds,9.82E+14,777478,770,F,,
,,,,,,
Halsteds,9.82E+14,777273,780,F,,
,,,,,,
Halsteds,9.82E+14,777330,703,M,,
,,,,,,
Halsteds,9.82E+14,777324,723,M,,
,,,,,,
Halsteds,9.82E+14,777259,,,,RECAP
,,,,,,
Halsteds,9.82E+14,777421,850,M,,
,,,,,,
Halsteds,9.82E+14,777346,382,F,,
,,,,,,
Halsteds,9.82E+14,777444,405,M,,
,,,,,,
Halsteds,9.82E+14,777413,637,M,,
,,,,,,
Halsteds,9.82E+14,777345,701,M,,
,,,,,,
Halsteds,9.82E+14,777415,689,M,,
,,,,,,
Halsteds,9.82E+14,777464,734,M,,
,,,,,,
Halsteds,9.82E+14,777435,560,M,,
,,,,,,
Halsteds,9.82E+14,777481,711,F,,
,,,,,,
Halsteds,9.82E+14,777496,729,F,,
,,,,,,
Halsteds,9.82E+14,777290,575,M,,
,,,,,,
Halsteds,9.82E+14,777487,705,M,,
,,,,,,
Halsteds,9.82E+14,777434,699,M,,
,,,,,,
Halsteds,9.82E+14,777284,573,M,,
,,,,,,
Halsteds,9.82E+14,777491,698,F,,
,,,,,,
Halsteds,9.82E+14,777338,702,M,,
,,,,,,
Halsteds,9.82E+14,777326,645,M,,
,,,,,,
Halsteds,9.82E+14,777374,700,M,,
,,,,,,
Halsteds,9.82E+14,777296,360,M,,
,,,,,,
Halsteds,9.82E+14,777263,643,M,,
,,,,,,
Halsteds,9.82E+14,777359,,,,RECAP
,,,,,,
Halsteds,9.82E+14,777486,660,M,,
,,,,,,
Halsteds,9.82E+14,777451,675,F,,
,,,,,,
Halsteds,9.82E+14,777407,725,F,,
,,,,,,
Halsteds,9.82E+14,777390,745,F,,
,,,,,,
Halsteds,9.82E+14,777408,630,M,,
,,,,,,
Halsteds,9.82E+14,777283,695,M,,
,,,,,,
Halsteds,9.82E+14,777312,645,M,,
,,,,,,
Halsteds,9.82E+14,777467,660,M,,
,,,,,,
Halsteds,9.82E+14,777308,651,M,,
,,,,,,
Halsteds,9.82E+14,777393,655,M,,
,,,,,,
Halsteds,9.82E+14,777410,725,F,,
,,,,,,
Halsteds,9.82E+14,777321,680,F,,
,,,,,,
Halsteds,9.82E+14,777452,665,M,,
,,,,,,
Halsteds,9.82E+14,777412,650,M,,
,,,,,,
Halsteds,9.82E+14,777370,620,F,,
,,,,,,
Halsteds,9.82E+14,777485,668,M,,
,,,,,,
Halsteds,9.82E+14,777344,381,M,,
,,,,,,
Halsteds,9.82E+14,777277,554,M,,
,,,,,,
Halsteds,9.82E+14,777313,362,M,,
,,,,,,
Halsteds,9.82E+14,777253,381,M,,
,,,,,,
Halsteds,9.82E+14,777369,396,F,,
,,,,,,
Halsteds,9.82E+14,777465,395,M,,
,,,,,,
Halsteds,9.82E+14,777468,405,M,,
,,,,,,
Halsteds,9.82E+14,777398,375,F,,
,,,,,,
Halsteds,9.82E+14,777303,346,M,,
,,,,,,
Halsteds,9.82E+14,777419,387,F,,
,,,,,,
Halsteds,9.82E+14,777322,800,F,,
,,,,,,
Halsteds,9.82E+14,777376,689,F,,
,,,,,,
Halsteds,9.82E+14,777411,656,M,,
,,,,,,
Halsteds,9.82E+14,777438,407,F,,
,,,,,,
Halsteds,9.82E+14,777463,400,U,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777356,754,M,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777462,365,M,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777291,760,F,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777319,668,M,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777276,653,M,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777286,397,F,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777482,649,M,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777301,695,M,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777492,748,F,SHOREACROSSFROMDOCK,
,,,,,,
Halsteds,9.82E+14,777409,394,F,4&5,
,,,,,,
Halsteds,9.82E+14,777375,400,F,4&6,
,,,,,,
Halsteds,9.82E+14,777358,375,M,4&7,
,,,,,,
Halsteds,9.82E+14,777404,389,M,4&8,
,,,,,,
Halsteds,9.82E+14,777469,381,F,4&9,
,,,,,,
Halsteds,9.82E+14,777476,394,F,4&10,
,,,,,,
Halsteds,9.82E+14,777430,350,F,4&11,
,,,,,,
Halsteds,9.82E+14,777422,381,F,4&12,
,,,,,,
Halsteds,9.82E+14,777396,373,M,4&13,
,,,,,,
Halsteds,9.82E+14,777446,662,M,4&14,
,,,,,,
Halsteds,9.82E+14,777403,683,M,4&15,
,,,,,,
Halsteds,9.82E+14,777343,381,M,4&16,
,,,,,,
Halsteds,9.82E+14,777267,400,M,4&17,"cut off left pectoral, no pelvic fins"
,,,,,,
Halsteds,9.82E+14,777299,698,F,4&18,
,,,,,,
Halsteds,9.82E+14,777402,705,M,4&19,
,,,,,,
Halsteds,9.82E+14,777337,570,M,4&20,
,,,,,,
Halsteds,9.82E+14,777282,398,M,4&21,
,,,,,,
Halsteds,9.82E+14,777425,695,M,4&22,
,,,,,,
Halsteds,9.82E+14,777300,732,F,4&23,
,,,,,,
Halsteds,9.82E+14,777445,664,M,4&24,
,,,,,,
Halsteds,9.82E+14,777350,800,F,4&25,
,,,,,,
Halsteds,9.82E+14,777382,820,F,4&26,
,,,,,,
Halsteds,9.82E+14,777372,352,F,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777254,380,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777261,395,F,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777459,398,U,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777470,363,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777305,621,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777378,401,F,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777394,399,U,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777391,662,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777353,684,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777480,670,F,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777418,391,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777431,671,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777315,672,F,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777331,765,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777426,384,U,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777268,706,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777447,671,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777453,629,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777325,780,F,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777318,757,F,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777297,672,M,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777250,870,F,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777380,380,U,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777365,369,U,LEFTOFDOCK,
,,,,,,
Halsteds,9.82E+14,777423,355,M,LEFTOFDOCK,
Parely,,567704,,,,
Parely,,567672,,,,
Parely,,567728,,,,
Parely,,567591,,,,
Parely,,567616,,,,
Parely,,567646,,,,
Parely,,567690,,,,
Parely,,567608,,,,
Parely,,567570,,,,
Parely,,567732,,,,
Parely,,567655,,,,
Parely,,567518,,,,
Parely,,567716,,,,
Parely,,567563,,,,
Parely,,567709,,,,
Parely,,567657,,,,
Parely,,567702,,,,
Parely,,567621,,,,
Parely,,567614,,,,
Parely,,567583,,,,
Parely,,567617,,,,
Parely,,567697,,,,
Parely,,567725,,,,
Parely,,567596,,,,
Mud,,567622,,,,
Mud,,567590,,,,
Mud,,567626,,,,
Mud,,567676,,,,
Mud,,567710,,,,
Mud,,567694,,,,
Parley,,567519,,,,
Parley,,567734,,,,
Parley,,567600,,,,
Parley,,567501,,,,
Parley,,567620,,,,
Parley,,567655,,,,
Parley,,567689,,,,
Parley,,567535,,,,
Parley,,567575,,,,
Parley,,567627,,,,
Parley,,567695,,,,
Parley,,567567,,,,
Parley,,567525,,,,
Parley,,567727,,,,
Parley,,567576,,,,
Parley,,567741,,,,
Parley,,567748,,,,
Parley,,567597,,,,
Parley,,567607,,,,
Parley,,567747,,,,
Parley,,567688,,,,
Parley,,567557,,,,
Parley,,567634,,,,
Parley,,567593,,,,
Parley,,567611,,,,
Parley,,567724,,,,
Parley,,567565,,,,
Parley,,567607,,,,
Parley,,567700,,,,
Parley,,567665,,,,
Parley,,567714,,,,