PIT,count,forage_activity_rank,prop_forager,cum_visits,one_to_one
038324,1,1,0.00934579439252336,1.04334035849175e-05,0.00934579439252336
038370,1,2,0.0186915887850467,2.08668071698349e-05,0.0186915887850467
038382,1,3,0.0280373831775701,3.13002107547524e-05,0.0280373831775701
038385,1,4,0.0373831775700935,4.17336143396699e-05,0.0373831775700935
038390,1,5,0.0467289719626168,5.21670179245874e-05,0.0467289719626168
497652,1,6,0.0560747663551402,6.26004215095048e-05,0.0560747663551402
775249,1,7,0.0654205607476636,7.30338250944223e-05,0.0654205607476636
038318,2,8,0.0747663551401869,9.39006322642572e-05,0.0747663551401869
038347,2,9,0.0841121495327103,0.000114767439434092,0.0841121495327103
497604,2,10,0.0934579439252336,0.000135634246603927,0.0934579439252336
497632,2,11,0.102803738317757,0.000156501053773762,0.102803738317757
497686,2,12,0.11214953271028,0.000177367860943597,0.11214953271028
497867,2,13,0.121495327102804,0.000198234668113432,0.121495327102804
775169,2,14,0.130841121495327,0.000219101475283267,0.130841121495327
497692,3,15,0.14018691588785,0.000250401686038019,0.14018691588785
038349,4,16,0.149532710280374,0.000292135300377689,0.149532710280374
497874,4,17,0.158878504672897,0.000333868914717359,0.158878504672897
038305,7,18,0.168224299065421,0.000406902739811781,0.168224299065421
497663,7,19,0.177570093457944,0.000479936564906204,0.177570093457944
497673,7,20,0.186915887850467,0.000552970390000626,0.186915887850467
038326,8,21,0.196261682242991,0.000636437618679966,0.196261682242991
038351,8,22,0.205607476635514,0.000719904847359306,0.205607476635514
497646,9,23,0.214953271028037,0.000813805479623563,0.214953271028037
497806,10,24,0.224299065420561,0.000918139515472738,0.224299065420561
497892,10,25,0.233644859813084,0.00102247355132191,0.233644859813084
497620,12,26,0.242990654205607,0.00114767439434092,0.242990654205607
775216,12,27,0.252336448598131,0.00127287523735993,0.252336448598131
497804,13,28,0.261682242990654,0.00140850948396386,0.261682242990654
497836,21,29,0.271028037383178,0.00162761095924713,0.271028037383178
497680,22,30,0.280373831775701,0.00185714583811531,0.280373831775701
497626,26,31,0.289719626168224,0.00212841433132316,0.289719626168224
038325,33,32,0.299065420560748,0.00247271664962544,0.299065420560748
497811,35,33,0.308411214953271,0.00283788577509755,0.308411214953271
038391,40,34,0.317757009345794,0.00325522191849425,0.317757009345794
038361,41,35,0.327102803738318,0.00368299146547587,0.327102803738318
038334,72,36,0.336448598130841,0.00443419652358993,0.336448598130841
497778,82,37,0.345794392523364,0.00528973561755316,0.345794392523364
497675,87,38,0.355140186915888,0.00619744172944098,0.355140186915888
497805,91,39,0.364485981308411,0.00714688145566847,0.364485981308411
038363,94,40,0.373831775700935,0.00812762139265071,0.373831775700935
038339,101,41,0.383177570093458,0.00918139515472738,0.383177570093458
497628,110,42,0.392523364485981,0.0103290695490683,0.392523364485981
775199,114,43,0.401869158878505,0.0115184775577489,0.401869158878505
038322,142,44,0.411214953271028,0.0130000208668072,0.411214953271028
497656,144,45,0.420560747663551,0.0145024309830353,0.420560747663551
497684,158,46,0.429906542056075,0.0161509087494522,0.429906542056075
497865,178,47,0.439252336448598,0.0180080545875676,0.439252336448598
497753,183,48,0.448598130841121,0.0199173674436075,0.448598130841121
038377,203,49,0.457943925233645,0.0220353483713457,0.457943925233645
497876,214,50,0.467289719626168,0.024268096738518,0.467289719626168
497875,232,51,0.476635514018692,0.0266886463702189,0.476635514018692
497766,234,52,0.485981308411215,0.0291300628090896,0.485981308411215
497827,257,53,0.495327102803738,0.0318114475304134,0.495327102803738
775177,283,54,0.504672897196262,0.034764100744945,0.504672897196262
038313,303,55,0.514018691588785,0.037925422031175,0.514018691588785
497649,320,56,0.523364485981308,0.0412641111783486,0.523364485981308
038344,325,57,0.532710280373832,0.0446549673434468,0.532710280373832
038365,378,58,0.542056074766355,0.0485987938985456,0.542056074766355
497855,414,59,0.551401869158879,0.0529182229827014,0.551401869158879
775235,430,60,0.560747663551402,0.0574045865242159,0.560747663551402
775204,465,61,0.570093457943925,0.0622561191912026,0.570093457943925
497841,569,62,0.579439252336449,0.0681927258310206,0.579439252336449
497870,600,63,0.588785046728972,0.0744527679819711,0.588785046728972
038388,632,64,0.598130841121495,0.0810466790476389,0.598130841121495
497887,683,65,0.607476635514019,0.0881726936961376,0.607476635514019
497636,697,66,0.616822429906542,0.095444775994825,0.616822429906542
497891,747,67,0.626168224299065,0.103238528472758,0.626168224299065
775219,807,68,0.635514018691589,0.111658285165787,0.635514018691589
497764,851,69,0.644859813084112,0.120537111616552,0.644859813084112
038387,871,70,0.654205607476636,0.129624606139015,0.654205607476636
497622,879,71,0.663551401869159,0.138795567890157,0.663551401869159
775180,1041,72,0.672897196261682,0.149656741022056,0.672897196261682
775203,1043,73,0.682242990654206,0.160538780961125,0.682242990654206
038368,1130,74,0.691588785046729,0.172328527012082,0.691588785046729
497771,1214,75,0.700934579439252,0.184994678964172,0.700934579439252
497822,1295,76,0.710280373831776,0.19850593660664,0.710280373831776
775186,1311,77,0.719626168224299,0.212184128706467,0.719626168224299
775234,1319,78,0.728971962616822,0.225945788034973,0.728971962616822
497690,1350,79,0.738317757009346,0.240030882874611,0.738317757009346
775170,1415,80,0.747663551401869,0.25479414894727,0.747663551401869
497627,1506,81,0.757009345794393,0.270506854746155,0.757009345794393
038335,1584,82,0.766355140186916,0.287033366024665,0.766355140186916
038355,1584,83,0.775700934579439,0.303559877303174,0.775700934579439
775213,1584,84,0.785046728971963,0.320086388581683,0.785046728971963
038315,1632,85,0.794392523364486,0.337113703232268,0.794392523364486
775239,1670,86,0.803738317757009,0.354537487219081,0.803738317757009
038393,1736,87,0.813084112149533,0.372649875842497,0.813084112149533
038369,1904,88,0.822429906542056,0.39251507626818,0.822429906542056
775215,1929,89,0.831775700934579,0.412641111783486,0.831775700934579
038381,1933,90,0.841121495327103,0.432808880913132,0.841121495327103
775241,2000,91,0.850467289719626,0.453675688082966,0.850467289719626
038301,2148,92,0.85981308411215,0.476086638983369,0.85981308411215
497871,2148,93,0.869158878504673,0.498497589883772,0.869158878504673
497693,2181,94,0.878504672897196,0.521252843102477,0.878504672897196
497639,2200,95,0.88785046728972,0.544206330989295,0.88785046728972
775173,2312,96,0.897196261682243,0.568328360077625,0.897196261682243
775172,2370,97,0.906542056074766,0.593055526573879,0.906542056074766
497661,2645,98,0.91588785046729,0.620651879055986,0.91588785046729
775217,2793,99,0.925233644859813,0.64979237526866,0.925233644859813
497631,2994,100,0.934579439252336,0.681029985601903,0.934579439252336
497849,3297,101,0.94392523364486,0.715428917221376,0.94392523364486
497641,3525,102,0.953271028037383,0.75220666485821,0.953271028037383
497601,4162,103,0.962616822429906,0.795630490578637,0.962616822429906
497877,4238,104,0.97196261682243,0.839847254971517,0.97196261682243
497600,4271,105,0.981308411214953,0.884408321682699,0.981308411214953
497630,4335,106,0.990654205607477,0.929637126223317,0.990654205607477
775194,6744,107,1,1,1
